Scheduled Principal,Curtailments,Curtailment Adjustments,Prepayment,Repurchase Principal,Other Principal Adjustments,Liquidation Principal,Principal Losses
133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,276849.56,0.0,0.0,0.0,0.0
131.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.52,2.91,0.02,0.0,0.0,0.0,0.0,0.0
102.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.38,98.46,0.67,0.0,0.0,0.0,0.0,0.0
307.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
